IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2005,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2006,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2011,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2012,98.9
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2018,99
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2019,98
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2002,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2003,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2009,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2013,98.6
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2020,98.4
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2000,98
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2004,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2014,99.8
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2015,99
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2007,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2008,100
1772666,Births attended by health personnel,COUNTRY,052,Barbados,YEAR,2016,99.1
