Property,Value
Rationale,"In 2015, in anticipation of the launch of the SDGs, the World Health Organization (WHO) and partners released a consensus statement and full strategy paper on ending preventable maternal mortality (EPMM).The EPMM target for reducing the global maternal mortality ratio (MMR) by 2030 was adopted as SDG target 3.1: reduce global MMR to less than 70 per 100 000 live births by 2030. WHO leads the UN Maternal Mortality Estimation Interagency Group (MMEIG) composed of WHO, UNICEF, UNFPA, the United Nations Population Division, and the World Bank Group. The MMEIG is tasked with generating internationally comparable estimates of maternal mortality for the purposes of global monitoring, having done so for Millennium Development Goal reporting and will continue to do under the Sustainable Development Goals framework. Monitoring maternal health is widely seen as one of the most complicated health indicators within global frameworks. Significant unfinished business and challenges remain with estimating MMR; primarily due to the availability and usability of population based data on maternal death."
Denominator,"Maternal mortality is difficult to measure. CRVS and health information systems in most developing countries are weak, and thus, cannot provide an accurate assessment of maternal mortality. Even estimates derived from complete CRVS systems, such as those in developed countries; suffer from misclassification and underreporting of maternal deaths."
Institutional mandate,World Health Organization (WHO) is the custodian UN agency for the maternal mortality ratio.
Notes,"The maternal mortality ratio can be calculated by dividing recorded (or estimated) maternal deaths by total recorded (or estimated) live births in the same period and multiplying by 100,000. Measurement requires information on pregnancy status, timing of death (during pregnancy, childbirth, or within 42 days of termination of pregnancy), and cause of death. Maternal mortality ratio = (Number of maternal deaths / Number of live births) X 100,000 The maternal mortality ratio can be calculated directly from data collected through vital registration systems, household surveys or other sources. However, there are often data quality problems, particularly related to the underreporting and misclassification of maternal deaths. Therefore, data are often adjusted in order to take into account these data quality issues. Adjustments for underreporting and misclassification of deaths and model-based estimates should be made in the cases where data are not reliable. Because maternal mortality is a relatively rare event, large sample sizes are needed if household surveys are used. This is very costly and may still result in estimates with large confidence intervals, limiting the usefulness for cross-country or overtime comparisons. To reduce sample size requirements, the sisterhood method used in the DHS and MICS surveys measures maternal mortality by asking respondents about the survival of sisters. It should be noted that the sisterhood method results in pregnancy-related mortality: regardless of cause of death, all deaths occurring during pregnancy, birth, or the six weeks following the termination of the pregnancy are included in the numerator of the maternal mortality ratio. Reproductive Age Mortality Studies (RAMOS) is a special study that uses varied sources, depending on the context, to identify all deaths of women of reproductive age and ascertain which of these are maternal or pregnancy-related."
Data collection process,"The United Nations Maternal Mortality Estimation Inter-Agency Group (UN MMEIG) – comprising WHO, UNICEF, UNFPA, the World Bank Group and the United Nations Population Division (UNDESA/Population Division) maintains an input database consisting of maternal mortality data from civil registration, population-based surveys, surveillance systems, censuses, and other specialized studies/surveys. This database is updated before the release of every new round of estimates and is used to calculate the proportion of maternal deaths (PM) among women of reproductive age (WRA)."
Preferred data sources,Civil registration with complete coverage and medical certification of cause of death
Other data sources,"Household surveys
Population census
Sample or sentinel registration systems
Special studies"
Expected frequency of data collection,Continuous
Data providers,"National-level data providers are typically statistical offices, specialized epidemiology monitoring authorities and/or Ministry of Health."
Data compilers,"The United Nations Maternal Mortality Estimation Inter-Agency Group (UN MMEIG) – comprising WHO, UNICEF, UNFPA, the World Bank Group and the United Nations Population Division (UNDESA/Population Division) of the Department of Economic and Social Affairs."
