IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_1000_N,RATE_PER_1000_NL,RATE_PER_1000_NU
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1969,Total,0 to 27 days,29.723687806,27.811685676,31.696867311
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1975,Total,0 to 27 days,22.930363129,21.058383941,24.552947149
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1979,Total,0 to 27 days,18.075132534,16.529748332,19.449654201
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1984,Total,0 to 27 days,14.874285398,13.612754789,16.086375882
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1987,Total,0 to 27 days,13.751359335,12.551006818,14.858894337
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1993,Total,0 to 27 days,9.928177657,8.9714994,10.882502978
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1994,Total,0 to 27 days,9.577850904,8.609395332,10.521265656
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1995,Total,0 to 27 days,9.319783321,8.368654047,10.260655036
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1996,Total,0 to 27 days,9.134863982,8.193870782,10.078591509
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1999,Total,0 to 27 days,8.930333327,7.946454342,9.839225289
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,2004,Total,0 to 27 days,9.503193417,8.543901199,10.473418761
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,2006,Total,0 to 27 days,9.756634842,8.778120902,10.745959317
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,2009,Total,0 to 27 days,9.66365488,8.666654189,10.661278636
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1968,Total,0 to 27 days,31.155697201,29.01851136,33.345560628
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1977,Total,0 to 27 days,20.378379969,18.660036941,21.871341914
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1983,Total,0 to 27 days,15.226190948,13.92824052,16.447355261
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1986,Total,0 to 27 days,14.224422235,12.996536897,15.391014035
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,1997,Total,0 to 27 days,9.015209747,8.047185758,9.9436099080000009
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,2000,Total,0 to 27 days,8.947048344,7.983124533,9.857923144
A4C49D3,Mortality rate (neonetal),COUNTRY,052,Barbados,YEAR,2008,Total,0 to 27 days,9.739807282,8.751269605,10.719330282
